zeat_libelle,zeat_code,centers_x,centers_y
1,9,-100.0,-100.0
2,9,-100.0,-100.0
3,9,-100.0,-100.0
4,9,-100.0,-100.0
5,9,-100.0,-100.0
6,9,-100.0,-100.0
11,1,2.3354880097019404,48.80583509172309
21,2,4.566624267616264,48.74513752112811
22,2,2.7536476207237794,49.642985909903985
23,2,1.0118676321356166,49.384268420308466
24,2,1.6500491485215791,47.503271072764456
25,2,-0.5219155483462321,48.93464042800971
26,2,4.095435686104745,47.256691228751606
31,3,2.750746747432201,50.47076026131477
41,4,6.146280399517403,48.75341661152301
42,4,7.412903928996842,48.26536890729814
43,4,6.26884486743854,47.29210475296359
52,5,-0.7964314969573216,47.513900545530504
53,5,-2.8432438903271793,48.176207682464366
54,5,-0.08366409345454956,46.15381899182199
72,6,-0.18529964553612915,44.306821203984235
73,6,1.378378776488952,43.725467944695254
74,6,1.7100784968955347,45.78000194676454
82,7,5.274068250207207,45.489216615472834
83,7,3.200707375540435,45.57469591872935
91,8,3.196870133401729,43.558699688718846
93,8,6.022112554896803,43.95044351595331
94,8,9.096978089909006,42.12941236979724
